,,,,,,,,,,,,,,,,,,,,,,,,,
Table 4: Incident type 2015-2019,,,,,,,,,,,,,,,,,,,,,,,,,
Outage_OIS_Number,Date,Time,Latitude,Longitude,Circuit Name,Type of Equipment Involved,Facility Identification,Voltage,Overhead/Underground,,,,,,,,,,,,,,,,
1237912,5/21/15,9:38:00 AM,38.59964,-122.99354,FITCH-MOUNTAIN-1113,Conductor,4 SPANS LOAD SIDE 2993,12000,OH,,,,,,,,,,,,,,,,
1239022,5/24/15,12:14:00 PM,36.2012983,-121.1611583,KING-CITY-1103,Conductor,101734774,12000,OH,,,,,,,,,,,,,,,,
TR5724947,5/26/15,6:05:00 AM,36.1660967,-120.2534833,COALINGA-NO-2-1106,Conductor,OFF PHELPS 2 MILES E/O CALAVERAS,12000,OH,,,,,,,,,,,,,,,,
1239928,5/27/15,1:21:00 AM,36.598642,-119.42185,REEDLEY-1106,Conductor,"Open field by Riser 7465, Zumwalt Ave S/O Manning Ave, Reedley",12000,OH,,,,,,,,,,,,,,,,
1240374,5/27/15,10:09:00 PM,39.16901,-120.9612,BRUNSWICK-1106,Conductor,100077687,12000,OH,,,,,,,,,,,,,,,,
1241471,5/30/15,5:36:00 PM,38.725373,-120.832572,PLACERVILLE-1111,Fuse,across from 2669 hwy 49,12000,OH,,,,,,,,,,,,,,,,
1241379,5/30/15,1:46:00 PM,36.90227,-119.7737,RIVER-ROCK-1101,Conductor,100643725,12000,OH,,,,,,,,,,,,,,,,
1241675,5/31/15,7:44:00 AM,38.782371,-121.480176,CATLETT-1102,Unknown,"3700 Sankey Rd, Pleasant Grove",12000,OH,,,,,,,,,,,,,,,,
1241696,5/31/15,9:30:00 AM,37.97744999,-121.32671,COUNTRY-CLUB-1101,Conductor,102057703,12000,OH,,,,,,,,,,,,,,,,
1241729,5/31/15,12:20:00 PM,37.72184999,-120.793109,COTTLE-1703,Conductor,102340604,17000,OH,,,,,,,,,,,,,,,,
1241619,5/31/15,12:28:00 AM,37.29657999,-120.468249,EL-CAPITAN-1106,Conductor,101157239,12000,OH,,,,,,,,,,,,,,,,
TR5734650,5/31/15,11:32:00 AM,37.273249,-120.470983,MERCED-1116,Conductor,101157239,12000,OH,,,,,,,,,,,,,,,,
TR5732915,6/2/15,11:00:00 AM,38.7371312,-120.8122124,PLACERVILLE-1110,Fuse,,12000,OH,,,,,,,,,,,,,,,,
1243258,6/3/15,5:14:00 PM,35.36122999,-119.006219,BAKERSFIELD-2109,Conductor,100150055,21000,OH,,,,,,,,,,,,,,,,
1243040,6/3/15,9:40:00 AM,39.68957,-121.621612,CLARK-ROAD-1102,Conductor,,12000,OH,,,,,,,,,,,,,,,,
1243177,6/3/15,10:48:00 AM,38.62700999,-121.076589,CLARKSVILLE-2103,Conductor,103035299,21000,OH,,,,,,,,,,,,,,,,
1243752,6/4/15,3:53:00 PM,39.46837,-121.561279,WYANDOTTE-1106,Conductor,powerhouse hill rd 2spans e on ophir rd,12000,OH,,,,,,,,,,,,,,,,
1243775,6/4/15,4:44:00 PM,38.58800999,-121.517089,WEST-SACRAMENTO-1110,Unknown,101565849,12000,OH,,,,,,,,,,,,,,,,
1243842,6/4/15,8:12:00 PM,38.6916,-120.860579,DIAMOND-SPRINGS-1105,Conductor,101412760,12000,OH,,,,,,,,,,,,,,,,
1244315,6/5/15,3:16:00 PM,36.77590999,-119.770269,MANCHESTER-1103,Transformer,100857009,12000,OH,,,,,,,,,,,,,,,,
TR5746243,6/5/15,10:04:00 AM,40.107034,-123.714223,GARBERVILLE-1101,Conductor,100986799,12000,OH,,,,,,,,,,,,,,,,
1244606,6/5/15,9:56:00 PM,38.7729,-121.46992,CATLETT-1102,Capacitor Bank,100064053,12000,OH,,,,,,,,,,,,,,,,
1244284,6/5/15,1:46:00 PM,37.95776999,-120.451909,RACETRACK-1704,Conductor,101012484,17000,OH,,,,,,,,,,,,,,,,
1244920,6/6/15,4:00:00 PM,39.04088999,-123.401889,PHILO-1101,Conductor,11480 ANDERSON VALLEY WAY @ BRIDGE,12000,OH,,,,,,,,,,,,,,,,
1244988,6/6/15,9:21:00 PM,38.00574999,-121.238219,CHEROKEE-1102,Conductor,102135759,12000,OH,,,,,,,,,,,,,,,,
1245173,6/7/15,3:12:00 PM,36.3216,-121.28363,LOS-COCHES-1101,Unknown,peach and thorne greenfield,12000,OH,,,,,,,,,,,,,,,,
1245032,6/7/15,5:26:00 AM,36.6906,-119.7488,MALAGA-1111,Conductor,103339346,12000,OH,,,,,,,,,,,,,,,,
1245223,6/7/15,6:16:00 PM,38.217944,-121.975236,PEABODY-2107,Conductor,c/o's 278361,21000,OH,,,,,,,,,,,,,,,,
1246215,6/8/15,5:44:00 PM,37.9582,-121.944059,TIDEWATER-2106,Conductor,T7325       ,21000,OH,,,,,,,,,,,,,,,,
1246280,6/8/15,7:40:00 PM,37.9404,-122.079489,LAKEWOOD-2107,Fuse,100462348,21000,OH,,,,,,,,,,,,,,,,
1245944,6/8/15,4:13:00 PM,38.11553999,-122.556219,NOVATO-1104,Conductor,front yard 9 equestrian ct,12000,OH,,,,,,,,,,,,,,,,
1246300,6/8/15,4:16:00 PM,39.82356,-123.60931,LAYTONVILLE-1101,Conductor,2 spans loadside 1741,12000,OH,,,,,,,,,,,,,,,,
1246974,6/8/15,9:45:00 PM,40.54242,-122.239059,DESCHUTES-1104,Transformer,103351104,12000,OH,,,,,,,,,,,,,,,,
1245781,6/8/15,2:24:00 PM,38.179556,-120.958991,CORRAL-1101,Conductor,102048579,12000,OH,,,,,,,,,,,,,,,,
1247573,6/9/15,11:56:00 AM,36.48867999,-119.582369,KINGSBURG-1113,Conductor,4390 ave 352,12000,OH,,,,,,,,,,,,,,,,
1247803,6/9/15,3:45:00 PM,38.3651,-122.2541,SILVERADO-2104,Conductor,load side 2987,21000,OH,,,,,,,,,,,,,,,,
1247877,6/9/15,4:58:00 PM,38.38221999,-122.43156,PUEBLO-2103,Unknown,load side 2987,21000,OH,,,,,,,,,,,,,,,,
1247656,6/9/15,1:24:00 PM,38.11757999,-121.15094,LOCKEFORD-2102,Conductor,102076487,21000,OH,,,,,,,,,,,,,,,,
1248865,6/10/15,10:41:00 PM,37.63812,-121.894329,RADUM-1105,Conductor,100927124,12000,OH,,,,,,,,,,,,,,,,
TR5774287,6/10/15,12:02:00 PM,39.13763,-121.63145,HARTER-1107,Conductor,101320887,12000,OH,,,,,,,,,,,,,,,,
1248720,6/10/15,5:10:00 PM,36.9670967,-120.0305217,STOREY-1108,Conductor,101216691,12000,OH,,,,,,,,,,,,,,,,
1249482,6/11/15,6:49:00 PM,38.82211999,-121.306049,PLEASANT-GROVE-2104,Switch,103661493,21000,OH,,,,,,,,,,,,,,,,
1249979,6/12/15,4:12:00 PM,37.92517,-122.07817,LAKEWOOD-1102,Transformer,100478251,12000,OH,,,,,,,,,,,,,,,,
1249785,6/12/15,11:02:00 AM,38.42732,-122.85903,MOLINO-1102,Conductor,102023459,12000,OH,,,,,,,,,,,,,,,,
1249729,6/12/15,9:06:00 AM,39.393975,-122.2299133,LOGAN-CREEK-2102,Conductor,100326792,21000,OH,,,,,,,,,,,,,,,,
TR5779847,6/12/15,1:13:00 PM,40.407745,-122.4103667,COTTONWOOD-1102,Lightning Arrestor,ACROSS STREET FROM 4139 OLD HAPPY VALLEY  RD,12000,OH,,,,,,,,,,,,,,,,
1250146,6/12/15,11:03:00 PM,39.230765,-121.15594,NARROWS-2105,Conductor,10903 PROSPECTOR RD  ROUGH AND READY,21000,OH,,,,,,,,,,,,,,,,
TR5779260,6/12/15,9:27:00 AM,37.076086,-120.200274,CHOWCHILLA-1101,Conductor,103204949,12000,OH,,,,,,,,,,,,,,,,
1250346,6/13/15,12:51:00 PM,35.27221,-118.91221,LAMONT-1106,Conductor,103779942,12000,OH,,,,,,,,,,,,,,,,
1250697,6/14/15,12:29:00 PM,39.74315999,-121.842489,CHICO-STATION-C-0401,Conductor,100426666,4000,OH,,,,,,,,,,,,,,,,
1250721,6/14/15,1:52:00 PM,36.936332,-119.870301,CASSIDY-2107,Conductor,"12915 mesa, madera",21000,OH,,,,,,,,,,,,,,,,
1251287,6/15/15,3:39:00 PM,37.18517999,-121.7595,MORGAN-HILL-2111,Conductor,100618215,21000,OH,,,,,,,,,,,,,,,,
TR5787122,6/16/15,10:53:00 AM,38.006213,-122.109178,FAIRVIEW-2208,Conductor,Twr 008/058,21000,OH,,,,,,,,,,,,,,,,
TR5787077,6/16/15,10:27:00 AM,39.03816,-122.92637,HARTLEY-1101,Conductor,102165174,12000,OH,,,,,,,,,,,,,,,,
1252474,6/17/15,6:38:00 PM,35.330236,-119.011639,BAKERSFIELD-2109,Conductor,100155778,21000,OH,,,,,,,,,,,,,,,,
1252382,6/17/15,4:02:00 PM,37.351605,-120.64202,ATWATER-1108,Conductor,8503 LONGVIEW ATWATER,12000,OH,,,,,,,,,,,,,,,,
1252186,6/17/15,10:38:00 AM,37.76880999,-120.907759,RIVERBANK-1713,Conductor,,17000,OH,,,,,,,,,,,,,,,,
1253359,6/19/15,1:35:00 PM,34.835642,-120.384327,UNKNOWN,Conductor,103015189,12000,OH,,,,,,,,,,,,,,,,
1253555,6/19/15,8:15:00 PM,39.15972999,-121.486519,MARYSVILLE-1108,Conductor,101308410,12000,OH,,,,,,,,,,,,,,,,
1253604,6/20/15,1:46:00 AM,36.2548,-119.64349,GUERNSEY-1102,Conductor,,12000,OH,,,,,,,,,,,,,,,,
1254170,6/21/15,12:11:00 PM,36.7224817,-121.7667283,CASTROVILLE-2104,Conductor,,21000,OH,,,,,,,,,,,,,,,,
1254174,6/21/15,12:15:00 PM,37.9273,-122.31824,WALL-0401,Conductor,KEY BLVD.,4000,OH,,,,,,,,,,,,,,,,
1254185,6/21/15,12:32:00 PM,38.83173,-121.16423,PENRYN-1103,Transformer,100050933,12000,OH,,,,,,,,,,,,,,,,
1254049,6/21/15,2:46:00 AM,39.00797,-121.344,WHEATLAND-1104,Conductor,100021218,12000,OH,,,,,,,,,,,,,,,,
TR5797211,6/21/15,4:04:00 AM,39.0955917,-121.5421083,PEASE-RIO-OSO,Transformer,100021218,12000,OH,,,,,,,,,,,,,,,,
1254197,6/21/15,12:51:00 PM,38.0016683,-121.2976817,HAMMER-1106,Conductor,102138737,12000,OH,,,,,,,,,,,,,,,,
TR5798000,6/21/15,1:32:00 PM,37.3750367,-119.6116183,OAKHURST-1103,Conductor,103204866,12000,OH,,,,,,,,,,,,,,,,
1254871,6/22/15,7:05:00 PM,36.987047,-121.538114,LLAGAS-2106,Conductor,,21000,OH,,,,,,,,,,,,,,,,
1254645,6/22/15,12:03:00 PM,39.173729,-121.06674,HIGGINS-1103,Conductor,SENTINAL WY,12000,OH,,,,,,,,,,,,,,,,
1255502,6/23/15,9:19:00 PM,39.04393,-123.1536167,HOPLAND-1101,Conductor,102192356,12000,OH,,,,,,,,,,,,,,,,
1255364,6/23/15,3:24:00 PM,39.05511999,-121.56103,PLUMAS-1102,Conductor,102354046,12000,OH,,,,,,,,,,,,,,,,
1255488,6/23/15,8:42:00 PM,38.90861999,-121.524929,EAST-NICOLAUS-1103,Conductor,101300582,12000,OH,,,,,,,,,,,,,,,,
1255464,6/23/15,7:08:00 PM,37.94531,-120.823701,VALLEY-HOME-1703,Conductor,102344528,17000,OH,,,,,,,,,,,,,,,,
1256017,6/24/15,7:09:00 PM,39.99207,-123.92584,GARBERVILLE-1102,Conductor,4 spans load side 8207,12000,OH,,,,,,,,,,,,,,,,
1256640,6/25/15,6:11:00 PM,37.90916,-122.057159,LAKEWOOD-1104,Conductor,511  LAWRENCE  W C,12000,OH,,,,,,,,,,,,,,,,
TR5808421,6/25/15,6:31:00 PM,36.363888,-119.859115,CAMDEN-1102,Conductor,"East of 22403 Fremont Ave, Lemoore",12000,OH,,,,,,,,,,,,,,,,
1256227,6/25/15,9:11:00 AM,39.64721999,-121.607929,CLARK-ROAD-1102,Conductor,100398087,12000,OH,,,,,,,,,,,,,,,,
1256394,6/25/15,11:17:00 AM,37.93019999,-120.970669,VALLEY-HOME-1703,Conductor,103223594,17000,OH,,,,,,,,,,,,,,,,
1257395,6/26/15,5:21:00 PM,37.93555999,-122.01447,CLAYTON-2216,Conductor,100481136,21000,OH,,,,,,,,,,,,,,,,
1256850,6/26/15,3:10:00 AM,35.15838,-120.6763,OCEANO-1105,Unknown,101929266,12000,OH,,,,,,,,,,,,,,,,
1257927,6/27/15,9:18:00 PM,39.26986,-121.040321,BRUNSWICK-1104,Conductor,16151 INDAIN FLAT RD,12000,OH,,,,,,,,,,,,,,,,
1257975,6/27/15,10:45:00 PM,38.119436,-120.621793,FROGTOWN-1702,Conductor,101281699,17000,OH,,,,,,,,,,,,,,,,
1257784,6/27/15,12:57:00 PM,37.947387,-120.427404,PEORIA-FLAT-1705,Conductor,101034512,17000,OH,,,,,,,,,,,,,,,,
1257894,6/27/15,6:53:00 PM,37.991127,-120.438024,RACETRACK-1704,Conductor,101034512,17000,OH,,,,,,,,,,,,,,,,
1258012,6/28/15,2:51:00 AM,35.49101999,-120.73098,ATASCADERO-1101,Conductor,13505 Santa Lucia Rd. Atascadero,12000,OH,,,,,,,,,,,,,,,,
1258317,6/28/15,5:18:00 PM,35.5527,-120.7314,TEMPLETON-2110,Conductor,347 puffin,21000,OH,,,,,,,,,,,,,,,,
1258200,6/28/15,2:42:00 PM,38.26840999,-122.42959,SONOMA-1105,Conductor,102005422,12000,OH,,,,,,,,,,,,,,,,
1258010,6/28/15,2:06:00 AM,38.9704133,-123.1436633,HOPLAND-1101,Conductor,MTR # 100971,12000,OH,,,,,,,,,,,,,,,,
1258381,6/28/15,9:16:00 PM,39.740482,-121.497371,CLARK-ROAD-1102,Conductor,"DEADWOOD RD, JARBO GAP",12000,OH,,,,,,,,,,,,,,,,
1258410,6/29/15,1:08:00 AM,35.35164,-119.03234,WESTPARK-1101,Conductor,100145659,12000,OH,,,,,,,,,,,,,,,,
1258443,6/29/15,6:50:00 AM,37.56461,-122.39297,CAROLANDS-0403,Conductor,100311342,4000,OH,,,,,,,,,,,,,,,,
TR5820198,6/29/15,6:47:00 PM,39.117138,-121.572478,OLIVEHURST-1103,Conductor,101319193,12000,OH,,,,,,,,,,,,,,,,
1258376,6/29/15,5:56:00 AM,37.93764,-120.60907,PEORIA-FLAT-1704,Conductor,163781704,17000,OH,,,,,,,,,,,,,,,,
1258448,6/29/15,7:07:00 AM,36.93431,-119.93889,BORDEN-1101,Conductor,rd 33 1/2 n/o ave 12 at 5451,12000,OH,,,,,,,,,,,,,,,,
1259782,6/30/15,7:49:00 PM,36.21991,-121.75343,OTTER-1102,Conductor,loadside of 88973,12000,OH,,,,,,,,,,,,,,,,
1259082,6/30/15,5:57:00 AM,35.20864,-119.00801,OLD-RIVER-1102,Conductor,100127938,12000,OH,,,,,,,,,,,,,,,,
1259039,6/30/15,12:15:00 AM,35.40119,-120.62223,ATASCADERO-1103,Conductor,santa margarita rch  SS c/o 6631,12000,OH,,,,,,,,,,,,,,,,
1259665,6/30/15,5:58:00 PM,37.73402,-121.93813,SAN-RAMON-2104,Transformer,100901822,21000,OH,,,,,,,,,,,,,,,,
1261956,7/2/15,2:08:00 PM,38.79256999,-121.50153,CATLETT-1102,Conductor,101299516,12000,OH,,,,,,,,,,,,,,,,
1262190,7/2/15,10:10:00 PM,37.85605999,-120.94458,VALLEY-HOME-1703,Conductor,W/SIDE VALLEY HOME RD @ LAMBUTH RD OAKDALE,17000,OH,,,,,,,,,,,,,,,,
1262584,7/3/15,7:41:00 PM,36.53499,-119.500359,KINGSBURG-1114,Conductor,40952 Road 32 Kingsburg,12000,OH,,,,,,,,,,,,,,,,
1262417,7/3/15,12:29:00 PM,35.386,-120.85705,MORRO-BAY-1101,Conductor,101848318,12000,OH,,,,,,,,,,,,,,,,
1262219,7/3/15,1:53:00 AM,35.6785,-120.9567,TEMPLETON-2110,Conductor,1 soan 1 conductor 1 span loade side transformer formtr 1008493290,21000,OH,,,,,,,,,,,,,,,,
1262901,7/4/15,2:19:00 PM,37.8892,-121.6134917,BRENTWOOD-2105,Conductor,15001 HWY 4 2W/O DISCOVERY BAY,21000,OH,,,,,,,,,,,,,,,,
1262668,7/4/15,12:55:00 AM,38.9566,-121.043359,HALSEY-1102,Other,100037226,12000,OH,,,,,,,,,,,,,,,,
1263125,7/5/15,10:11:00 AM,35.53229999,-120.73706,TEMPLETON-2111,Conductor,,21000,OH,,,,,,,,,,,,,,,,
1263380,7/5/15,9:47:00 PM,38.652367,-120.627824,APPLE-HILL-2102,Conductor,one span east of c/o 1055,21000,OH,,,,,,,,,,,,,,,,
1263968,7/7/15,6:03:00 AM,36.7593083,-121.2953567,HOLLISTER-2105,Conductor,.25 Mile south of Bolado Park on Airline Hwy,21000,OH,,,,,,,,,,,,,,,,
1263941,7/7/15,3:24:00 AM,36.0217567,-120.199845,KETTLEMAN-HILLS-2104,Conductor,1 POLE E/O 9716F OFF SUTTER AVE,21000,OH,,,,,,,,,,,,,,,,
1264466,7/7/15,3:33:00 PM,35.154962,-120.544197,OCEANO-1104,Conductor,303corraltos cyn rd,12000,OH,,,,,,,,,,,,,,,,
1264864,7/8/15,10:18:00 AM,37.00333,-121.56442,LLAGAS-2105,,316894818562{T25173},21000,OH,,,,,,,,,,,,,,,,
1264900,7/8/15,11:29:00 AM,39.223969,-121.063495,BRUNSWICK-1107,Conductor,100094468,12000,OH,,,,,,,,,,,,,,,,
1266595,7/11/15,8:59:00 AM,38.21877999,-122.233329,TULUCAY-1101,Conductor,mid span from 5267,12000,OH,,,,,,,,,,,,,,,,
1266746,7/11/15,3:55:00 PM,38.18388999,-121.88356,PEABODY-2107,Conductor,FUSE C/O 10313 LITTLE HONKER BAY RD & 20 SPANS E/O 10313,21000,OH,,,,,,,,,,,,,,,,
1266942,7/12/15,3:28:00 PM,35.25622999,-120.6839,SAN-LUIS-OBISPO-1108,Conductor,101936544,12000,OH,,,,,,,,,,,,,,,,
1267061,7/12/15,8:16:00 PM,39.5118,-122.19838,LOGAN-CREEK-2101,Conductor,100403587,21000,OH,,,,,,,,,,,,,,,,
